"id",name,symbol,example,roundedness,height,backness
"301",Close front unrounded vowel,U+0069,meet,,,
"302",Close-mid front unrounded vowel,U+0065,,,,
"303",Open-mid front unrounded vowel,U+025B,bed,,,
"304",Open front unrounded vowel,U+0061,hat,,,
"305",Open back unrounded vowel,U+0251,palm,,,
"306",Open-mid back rounded vowel,U+0254,not,,,
"307",Close-mid back rounded vowel,U+006F,yawn,,,
"308",Close back rounded vowel,U+0075,boot,,,
"309",Close front rounded vowel,U+0079,,,,
"310",Close-mid front rounded vowel,U+00F8,,,,
"311",Open-mid front rounded vowel,U+0153,,,,
"312",Open front rounded vowel,U+0276,,,,
"313",Open back rounded vowel,U+0252,,,,
"314",Open-mid back unrounded vowel,U+028C,,,,
"315",Close-mid back unrounded vowel,U+0264,,,,
"316",Close back unrounded vowel,U+026F,,,,
"317",Close central unrounded vowel,U+0268,,,,
"318",Close central rounded vowel,U+0289,goose,,,
"319",Near-close near-front unrounded vowel,U+026A,bit,,,
"320",Near-close near-front rounded vowel,U+028F,,,,
"321",Near-close near-back rounded vowel,U+028A,,,,
"322",Mid central vowel,U+0259,Tina,,,
"323",Close-mid central rounded vowel,U+0275,foot,,,
"324",Near-open central vowel,U+0250,nut,,,
"325",Near-open front unrounded vowel,U+00E6,,,,
"326",Open-mid central unrounded vowel,U+025C,bird,,,
"395",Open-mid central rounded vowel,U+025E,,,,
"397",Close-mid central unrounded vowel,U+0258,,,,